name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000473551.5,12.9,9.5,16.3,1.703,0.8,0.89,0.86,3.9e-01,1.0e+00,0.6843,723,13,8.7,6.8,21.4,12.6,14.9
ENST00000420225.1,0.6,1.3,0,0.163,-2.6,3.03,-0.86,3.9e-01,1.0e+00,NA,NA,2.1,1,0.9,0,0,0
ENST00000477238.1,2.6,3.6,1.5,0.43,-1.2,1.41,-0.86,3.9e-01,1.0e+00,0.6847,724,2.7,3.9,4.3,2.5,1,1.1
ENST00000437756.5,0.9,1.8,0,0.116,-3.1,3.61,-0.86,3.9e-01,1.0e+00,NA,NA,2.1,0,3.4,0,0,0
ENST00000401755.1,0.7,0,1.5,9.658,3.3,3.8,0.86,3.9e-01,1.0e+00,NA,NA,0,0,0,0,2.1,2.3
ENST00000426483.1,0.7,0,1.5,9.658,3.3,3.8,0.86,3.9e-01,1.0e+00,NA,NA,0,0,0,0,2.1,2.3
ENST00000623458.1,0.7,0,1.5,9.658,3.3,3.8,0.86,3.9e-01,1.0e+00,NA,NA,0,0,0,0,2.1,2.3
ENST00000401950.6,96.5,75.6,117.4,1.555,0.6,0.74,0.86,3.9e-01,1.0e+00,0.6847,728,69.8,81.2,75.7,68,131.1,153.2
ENST00000399777.1,31,43.9,18.1,0.41,-1.3,1.49,-0.86,3.9e-01,1.0e+00,0.6847,728,32.8,65.8,33.2,29,0,25.2
ENST00000497224.1,1.3,2.1,0.4,0.195,-2.4,2.75,-0.86,3.9e-01,1.0e+00,NA,NA,3.4,2.9,0,1.3,0,0
ENST00000358502.9,93.2,74.9,111.5,1.49,0.6,0.67,0.86,3.9e-01,1.0e+00,0.6865,732,69.1,91.9,63.8,97,129,108.6
ENST00000496942.5,11.3,15.1,7.6,0.504,-1,1.15,-0.86,3.9e-01,1.0e+00,0.6867,733,10.3,21.3,13.6,16.4,4.2,2.3
ENST00000380990.5,2.7,1.6,3.8,2.354,1.2,1.44,0.85,3.9e-01,1.0e+00,0.6867,733,2.1,1.9,0.9,5,5.2,1.1
ENST00000491863.1,1.3,2.2,0.3,0.19,-2.4,2.8,-0.85,3.9e-01,1.0e+00,NA,NA,1.4,0,5.1,0,1,0
ENST00000462539.1,10.3,7.6,12.9,1.706,0.8,0.9,0.85,3.9e-01,1.0e+00,0.6867,735,5.5,10.6,6.8,12.6,13.6,12.6
ENST00000486209.5,7.1,9.8,4.3,0.447,-1.2,1.36,-0.85,3.9e-01,1.0e+00,0.6867,735,13,9.7,6.8,0,7.3,5.7
ENST00000441289.1,1.8,0.6,2.9,4.736,2.2,2.63,0.85,3.9e-01,1.0e+00,NA,NA,0,1.9,0,0,4.2,4.6
ENST00000338306.7,0.7,0,1.5,9.697,3.3,3.85,0.85,3.9e-01,1.0e+00,NA,NA,0,0,0,1.3,3.1,0
ENST00000418264.1,0.7,0,1.5,9.697,3.3,3.85,0.85,3.9e-01,1.0e+00,NA,NA,0,0,0,1.3,3.1,0
ENST00000428462.6,5.5,7.7,3.3,0.429,-1.2,1.43,-0.85,3.9e-01,1.0e+00,0.6886,740,6.8,8.7,7.7,2.5,7.3,0
ENST00000353887.8,2,0.7,3.2,4.573,2.2,2.58,0.85,3.9e-01,1.0e+00,NA,NA,2.1,0,0,0,6.3,3.4
ENST00000266269.9,14.5,10.9,18.2,1.678,0.7,0.88,0.85,4.0e-01,1.0e+00,0.6923,746,10.9,10.6,11.1,12.6,28.3,13.7
ENST00000402395.5,1.4,0.5,2.4,4.925,2.3,2.72,0.85,4.0e-01,1.0e+00,NA,NA,1.4,0,0,5,2.1,0
ENST00000396811.6,4.3,2,6.6,3.329,1.7,2.05,0.84,4.0e-01,1.0e+00,0.6928,748,2.1,3.9,0,15.1,0,4.6
ENST00000477675.1,3.3,1.6,4.9,3.164,1.7,1.97,0.84,4.0e-01,1.0e+00,0.6928,748,0,4.8,0,5,5.2,4.6
ENST00000633056.1,18.7,14,23.5,1.669,0.7,0.88,0.84,4.0e-01,1.0e+00,0.6933,749,18.5,11.6,11.9,36.5,16.8,17.2
ENST00000459785.1,2.4,1.3,3.4,2.561,1.4,1.61,0.84,4.0e-01,1.0e+00,NA,NA,2.1,1.9,0,3.8,4.2,2.3
ENST00000498325.5,1.9,3,0.8,0.274,-1.9,2.23,-0.84,4.0e-01,1.0e+00,NA,NA,1.4,6.8,0.9,2.5,0,0
ENST00000475437.1,2.5,1.4,3.6,2.705,1.4,1.71,0.84,4.0e-01,1.0e+00,NA,NA,1.4,1,1.7,0,6.3,4.6
ENST00000452757.5,0.7,0,1.4,9.465,3.2,3.87,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,3.1,1.1
ENST00000468552.1,0.7,0,1.4,9.465,3.2,3.87,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,3.1,1.1
ENST00000334554.11,22.1,14.7,29.4,1.998,1,1.19,0.84,4.0e-01,1.0e+00,0.6967,757,12.3,25.1,6.8,49.1,34.6,4.6
ENST00000381551.8,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000411518.5,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000415484.5,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000436218.5,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000443002.5,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000445836.5,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000620191.4,0.8,0,1.5,10.042,3.3,3.97,0.84,4.0e-01,1.0e+00,NA,NA,0,0,0,0,0,4.6
ENST00000395732.7,1,1.6,0.4,0.26,-1.9,2.32,-0.84,4.0e-01,1.0e+00,NA,NA,2.1,1,1.7,1.3,0,0
ENST00000609432.1,1,1.6,0.4,0.26,-1.9,2.32,-0.84,4.0e-01,1.0e+00,NA,NA,2.1,1,1.7,1.3,0,0
ENST00000481910.1,6.6,9.1,4,0.445,-1.2,1.4,-0.84,4.0e-01,1.0e+00,0.6972,765,6.8,14.5,6,0,6.3,5.7
ENST00000401702.5,1,2.1,0,0.102,-3.3,3.94,-0.83,4.0e-01,1.0e+00,NA,NA,6.2,0,0,0,0,0
ENST00000402229.5,1,2.1,0,0.102,-3.3,3.94,-0.83,4.0e-01,1.0e+00,NA,NA,6.2,0,0,0,0,0
ENST00000424878.3,1,2.1,0,0.102,-3.3,3.94,-0.83,4.0e-01,1.0e+00,NA,NA,6.2,0,0,0,0,0
ENST00000432675.4,1,2.1,0,0.102,-3.3,3.94,-0.83,4.0e-01,1.0e+00,NA,NA,6.2,0,0,0,0,0
ENST00000473717.1,1,2.1,0,0.102,-3.3,3.94,-0.83,4.0e-01,1.0e+00,NA,NA,6.2,0,0,0,0,0
ENST00000216264.12,229.5,189.1,269.8,1.427,0.5,0.61,0.83,4.0e-01,1.0e+00,0.6982,770,197,171.1,199.1,260.7,253.8,295
ENST00000427114.5,0.9,1.8,0,0.119,-3.1,3.68,-0.83,4.0e-01,1.0e+00,NA,NA,0,1.9,3.4,0,0,0
ENST00000404072.7,3.8,6.3,1.4,0.226,-2.1,2.59,-0.83,4.1e-01,1.0e+00,0.7026,776,0,15.5,3.4,0,4.2,0
ENST00000216038.5,164,193.2,134.8,0.698,-0.5,0.63,-0.83,4.1e-01,1.0e+00,0.7026,777,216.1,163.4,200,131,138.4,134.9
ENST00000215957.10,71.1,85.4,56.8,0.665,-0.6,0.71,-0.83,4.1e-01,1.0e+00,0.7026,778,93.7,77.4,85.1,37.8,64,68.6
ENST00000216259.7,30.6,24.1,37.1,1.536,0.6,0.75,0.83,4.1e-01,1.0e+00,0.7026,778,29.4,24.2,18.7,34,31.5,45.7
ENST00000433341.5,0.9,1.8,0,0.121,-3,3.69,-0.82,4.1e-01,1.0e+00,NA,NA,1.4,3.9,0,0,0,0
ENST00000457241.5,0.9,1.8,0,0.121,-3,3.69,-0.82,4.1e-01,1.0e+00,NA,NA,1.4,3.9,0,0,0,0
ENST00000493724.1,0.9,1.8,0,0.121,-3,3.69,-0.82,4.1e-01,1.0e+00,NA,NA,1.4,3.9,0,0,0,0
ENST00000412643.1,1.8,1.1,2.6,2.451,1.3,1.57,0.82,4.1e-01,1.0e+00,NA,NA,1.4,1,0.9,1.3,3.1,3.4
ENST00000380711.3,0.9,0.3,1.6,5.402,2.4,2.96,0.82,4.1e-01,1.0e+00,NA,NA,0,0,0.9,3.8,1,0
ENST00000472724.5,0.9,0.3,1.6,5.402,2.4,2.96,0.82,4.1e-01,1.0e+00,NA,NA,0,0,0.9,3.8,1,0
ENST00000619293.1,1,2,0,0.106,-3.2,3.94,-0.82,4.1e-01,1.0e+00,NA,NA,0,0,6,0,0,0
ENST00000486656.5,3.1,4.7,1.5,0.329,-1.6,1.96,-0.82,4.1e-01,1.0e+00,0.7094,792,5.5,6.8,1.7,0,0,4.6
ENST00000436996.1,5,6.6,3.4,0.519,-0.9,1.16,-0.82,4.1e-01,1.0e+00,0.7107,794,8.9,5.8,5.1,2.5,2.1,5.7
ENST00000438754.6,53.6,29.3,77.8,2.658,1.4,1.73,0.81,4.2e-01,1.0e+00,0.712,796,31.5,8.7,47.6,104.5,129,0
ENST00000608052.1,0.9,0.3,1.6,5.27,2.4,2.95,0.81,4.2e-01,1.0e+00,NA,NA,0,1,0,1.3,0,3.4
ENST00000467659.1,5.9,8,3.8,0.478,-1.1,1.31,-0.81,4.2e-01,1.0e+00,0.7122,798,7.5,1.9,14.5,2.5,2.1,6.9
ENST00000490583.5,1.3,0.5,2.2,4.579,2.2,2.7,0.81,4.2e-01,1.0e+00,NA,NA,1.4,0,0,0,3.1,3.4
ENST00000356976.7,23.6,14.3,32.8,2.29,1.2,1.47,0.81,4.2e-01,1.0e+00,0.7126,800,15.7,0,27.2,39,24.1,35.4
ENST00000359787.5,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000440761.1,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000445220.5,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000454685.5,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000464629.5,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000478445.1,1,1.9,0,0.11,-3.2,3.95,-0.81,4.2e-01,1.0e+00,NA,NA,0,5.8,0,0,0,0
ENST00000401701.1,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000419722.6,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000434291.5,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000466276.1,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000481086.1,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000492625.5,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000624027.1,0.7,0,1.4,9.27,3.2,3.98,0.81,4.2e-01,1.0e+00,NA,NA,0,0,0,0,4.2,0
ENST00000621704.4,1.2,1.9,0.4,0.21,-2.3,2.8,-0.8,4.2e-01,1.0e+00,NA,NA,4.1,0,1.7,0,0,1.1
ENST00000407690.5,16.3,7.6,25,3.291,1.7,2.14,0.8,4.2e-01,1.0e+00,0.7191,818,18.5,0,4.3,0,16.8,58.3
ENST00000473946.1,17.4,21,13.7,0.65,-0.6,0.78,-0.8,4.2e-01,1.0e+00,0.7191,818,20.5,22.2,20.4,12.6,14.7,13.7
ENST00000215939.2,1.5,2.2,0.8,0.352,-1.5,1.88,-0.8,4.2e-01,1.0e+00,NA,NA,1.4,1.9,3.4,1.3,0,1.1
ENST00000216024.6,0.8,1.7,0,0.128,-3,3.71,-0.8,4.2e-01,1.0e+00,NA,NA,2.1,2.9,0,0,0,0
ENST00000406725.5,0.8,1.7,0,0.128,-3,3.71,-0.8,4.2e-01,1.0e+00,NA,NA,2.1,2.9,0,0,0,0
ENST00000403710.5,7.8,5.4,10.2,1.897,0.9,1.15,0.8,4.2e-01,1.0e+00,0.7191,821,5.5,3.9,6.8,3.8,6.3,20.6
ENST00000360079.7,263.2,379.6,146.6,0.386,-1.4,1.71,-0.8,4.2e-01,1.0e+00,0.7191,822,314.6,352.9,471.4,0,294.7,145.2
ENST00000496729.2,2.4,1.1,3.8,3.178,1.7,2.09,0.8,4.2e-01,1.0e+00,NA,NA,3.4,0,0,1.3,3.1,6.9
ENST00000468770.1,2.3,3.5,1.1,0.33,-1.6,2.01,-0.79,4.3e-01,1.0e+00,NA,NA,1.4,4.8,4.3,0,0,3.4
ENST00000006251.11,0.9,1.8,0,0.115,-3.1,3.95,-0.79,4.3e-01,1.0e+00,NA,NA,5.5,0,0,0,0,0
ENST00000432700.5,0.9,1.8,0,0.115,-3.1,3.95,-0.79,4.3e-01,1.0e+00,NA,NA,5.5,0,0,0,0,0
ENST00000491860.1,0.9,1.8,0,0.115,-3.1,3.95,-0.79,4.3e-01,1.0e+00,NA,NA,5.5,0,0,0,0,0
ENST00000406938.2,4.5,6.8,2.2,0.324,-1.6,2.06,-0.79,4.3e-01,1.0e+00,0.7279,836,3.4,0,17,0,3.1,3.4
ENST00000494113.1,3.6,2.2,5,2.273,1.2,1.5,0.79,4.3e-01,1.0e+00,0.7279,837,2.7,3.9,0,6.3,5.2,3.4
ENST00000381645.7,2.6,3.6,1.5,0.417,-1.3,1.61,-0.78,4.3e-01,1.0e+00,0.7313,842,2.7,3.9,4.3,0,1,3.4
ENST00000395744.7,65.3,38.7,91.8,2.371,1.2,1.59,0.78,4.3e-01,1.0e+00,0.7316,843,75.2,0,40.8,70.5,97.5,107.5
ENST00000436618.5,0.9,0.3,1.5,4.99,2.3,2.96,0.78,4.3e-01,1.0e+00,NA,NA,0,1,0,1.3,3.1,0
ENST00000624072.1,18.4,22.6,14.2,0.628,-0.7,0.86,-0.78,4.4e-01,1.0e+00,0.7326,845,17.8,34.8,15.3,15.1,12.6,14.9
ENST00000255784.5,17.8,21.7,13.9,0.64,-0.6,0.83,-0.78,4.4e-01,1.0e+00,0.7326,846,24.6,19.3,21.3,8.8,15.7,17.2
ENST00000446273.1,44.8,36.3,53.2,1.463,0.5,0.7,0.78,4.4e-01,1.0e+00,0.7326,847,41,27.1,40.8,55.4,48.2,56
ENST00000609632.1,1.9,1,2.7,2.566,1.4,1.75,0.78,4.4e-01,1.0e+00,NA,NA,1.4,0,1.7,3.8,3.1,1.1
ENST00000609758.1,0.6,1.2,0,0.184,-2.4,3.14,-0.78,4.4e-01,1.0e+00,NA,NA,0.7,1.9,0.9,0,0,0
ENST00000460853.1,0.8,1.6,0,0.132,-2.9,3.75,-0.78,4.4e-01,1.0e+00,NA,NA,1.4,0,3.4,0,0,0
ENST00000585003.1,3.4,4.5,2.2,0.499,-1,1.29,-0.78,4.4e-01,1.0e+00,0.7326,850,2.7,5.8,5.1,1.3,3.1,2.3
ENST00000426721.2,4.8,6.3,3.4,0.545,-0.9,1.13,-0.78,4.4e-01,1.0e+00,0.7326,851,5.5,4.8,8.5,2.5,3.1,4.6
ENST00000481673.5,26.9,21.2,32.6,1.536,0.6,0.8,0.77,4.4e-01,1.0e+00,0.7326,851,19.2,30.9,13.6,34,29.4,34.3
ENST00000624264.1,11.2,14,8.3,0.598,-0.7,0.96,-0.77,4.4e-01,1.0e+00,0.7326,852,9.6,22.2,10.2,6.3,8.4,10.3
ENST00000488859.1,1.5,0.7,2.3,3.226,1.7,2.18,0.77,4.4e-01,1.0e+00,NA,NA,2.1,0,0,3.8,2.1,1.1
ENST00000569149.1,2.9,4.7,1.1,0.244,-2,2.63,-0.77,4.4e-01,1.0e+00,0.7326,853,0,11.6,2.6,0,0,3.4
ENST00000403268.1,7.5,5.6,9.5,1.719,0.8,1.01,0.77,4.4e-01,1.0e+00,0.7326,854,4.8,6.8,5.1,6.3,7.3,14.9
ENST00000419253.1,2.8,1.1,4.4,3.915,2,2.55,0.77,4.4e-01,1.0e+00,0.7327,855,0,0,3.4,0,5.2,8
ENST00000441821.5,3,1.5,4.5,3.044,1.6,2.08,0.77,4.4e-01,1.0e+00,0.7332,856,0,1.9,2.6,0,3.1,10.3
ENST00000455617.1,0.9,0.3,1.4,4.879,2.3,2.98,0.77,4.4e-01,1.0e+00,NA,NA,0,0,0.9,0,3.1,1.1
ENST00000477368.5,2.5,1.7,3.4,2.05,1,1.35,0.77,4.4e-01,1.0e+00,0.7359,861,1.4,1.9,1.7,2.5,4.2,3.4
ENST00000483837.1,4,5.3,2.7,0.514,-1,1.25,-0.77,4.4e-01,1.0e+00,0.7359,862,4.8,6.8,4.3,2.5,1,4.6
ENST00000255890.8,2.2,0.6,3.8,6.13,2.6,3.42,0.76,4.4e-01,1.0e+00,NA,NA,0,1.9,0,0,11.5,0
ENST00000400023.5,0.8,1.6,0,0.137,-2.9,3.75,-0.76,4.4e-01,1.0e+00,NA,NA,2.1,0,2.6,0,0,0
ENST00000406955.5,0.8,1.6,0,0.137,-2.9,3.75,-0.76,4.4e-01,1.0e+00,NA,NA,2.1,0,2.6,0,0,0
ENST00000434349.1,0.8,1.6,0,0.137,-2.9,3.75,-0.76,4.4e-01,1.0e+00,NA,NA,2.1,0,2.6,0,0,0
ENST00000469532.1,0.8,1.6,0,0.137,-2.9,3.75,-0.76,4.4e-01,1.0e+00,NA,NA,2.1,0,2.6,0,0,0
ENST00000600937.5,0.8,1.6,0,0.137,-2.9,3.75,-0.76,4.4e-01,1.0e+00,NA,NA,2.1,0,2.6,0,0,0
ENST00000442616.1,0.7,0.3,1.1,3.884,2,2.57,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0.9,1.3,1,1.1
ENST00000478978.5,0.7,0.3,1.1,3.884,2,2.57,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0.9,1.3,1,1.1
ENST00000355830.10,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000406172.6,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000418695.1,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000424217.1,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000428892.1,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000441668.5,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000445195.5,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000465378.5,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000612500.4,0.6,0,1.3,8.226,3,3.99,0.76,4.5e-01,1.0e+00,NA,NA,0,0,0,3.8,0,0
ENST00000397328.5,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000464119.1,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000484830.1,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000494035.1,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000494219.1,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000494820.5,0.9,1.7,0,0.124,-3,3.95,-0.76,4.5e-01,1.0e+00,NA,NA,0,0,5.1,0,0,0
ENST00000496720.1,2.2,1.1,3.3,2.978,1.6,2.07,0.76,4.5e-01,1.0e+00,NA,NA,0,0,3.4,2.5,5.2,2.3
ENST00000428790.1,0.6,1.1,0,0.189,-2.4,3.16,-0.76,4.5e-01,1.0e+00,NA,NA,0.7,1,1.7,0,0,0
ENST00000466375.2,0.6,1.1,0,0.189,-2.4,3.16,-0.76,4.5e-01,1.0e+00,NA,NA,0.7,1,1.7,0,0,0
ENST00000558085.6,0.6,1.1,0,0.189,-2.4,3.16,-0.76,4.5e-01,1.0e+00,NA,NA,0.7,1,1.7,0,0,0
ENST00000609679.1,0.6,1.1,0,0.189,-2.4,3.16,-0.76,4.5e-01,1.0e+00,NA,NA,0.7,1,1.7,0,0,0
ENST00000476310.5,3,4.7,1.3,0.262,-1.9,2.54,-0.76,4.5e-01,1.0e+00,0.74,888,4.8,0,9.4,3.8,0,0
ENST00000624923.1,9,11.4,6.6,0.575,-0.8,1.05,-0.76,4.5e-01,1.0e+00,0.74,889,10.9,8.7,14.5,10.1,7.3,2.3
ENST00000403999.7,4.7,6.7,2.8,0.419,-1.3,1.66,-0.76,4.5e-01,1.0e+00,0.7405,890,1.4,5.8,12.8,6.3,2.1,0
ENST00000506039.1,1.9,1.1,2.7,2.448,1.3,1.7,0.76,4.5e-01,1.0e+00,NA,NA,1.4,1.9,0,2.5,2.1,3.4
ENST00000491966.1,0.7,0.2,1.1,3.885,2,2.59,0.76,4.5e-01,1.0e+00,NA,NA,0.7,0,0,1.3,1,1.1
ENST00000216068.8,28.5,22.4,34.5,1.538,0.6,0.82,0.76,4.5e-01,1.0e+00,0.7405,892,31.5,14.5,21.3,23.9,42,37.7
ENST00000459859.1,1.1,1.8,0.4,0.231,-2.1,2.79,-0.76,4.5e-01,1.0e+00,NA,NA,2.7,0,2.6,1.3,0,0
ENST00000484220.1,2.9,1.7,4.1,2.493,1.3,1.74,0.76,4.5e-01,1.0e+00,0.7405,894,1.4,1.9,1.7,0,2.1,10.3
ENST00000404532.5,3.6,5.6,1.5,0.27,-1.9,2.5,-0.75,4.5e-01,1.0e+00,0.7405,895,7.5,0,9.4,0,0,4.6
ENST00000433985.6,14.8,11.3,18.3,1.629,0.7,0.93,0.75,4.5e-01,1.0e+00,0.7405,895,6.8,12.6,14.5,23.9,9.4,21.7
ENST00000609737.1,4.3,2.7,5.9,2.23,1.2,1.54,0.75,4.5e-01,1.0e+00,0.7405,896,2.1,0,6,5,9.4,3.4
ENST00000462640.1,4.1,3,5.3,1.797,0.8,1.12,0.75,4.5e-01,1.0e+00,0.7405,897,3.4,2.9,2.6,5,5.2,5.7
ENST00000464116.2,5.4,2.3,8.5,3.826,1.9,2.59,0.75,4.5e-01,1.0e+00,0.743,901,0,6.8,0,17.6,0,8
ENST00000467915.1,0.8,1.5,0,0.138,-2.9,3.81,-0.75,4.5e-01,1.0e+00,NA,NA,0,2.9,1.7,0,0,0
ENST00000438270.1,4.4,6.6,2.2,0.336,-1.6,2.1,-0.75,4.5e-01,1.0e+00,0.743,902,0,16.4,3.4,0,3.1,3.4
ENST00000332965.3,1.1,1.8,0.3,0.229,-2.1,2.84,-0.75,4.5e-01,1.0e+00,NA,NA,3.4,1.9,0,0,1,0
ENST00000473022.1,0.9,1.5,0.3,0.282,-1.8,2.46,-0.74,4.6e-01,1.0e+00,NA,NA,0.7,2.9,0.9,0,1,0
ENST00000498649.1,4.7,3.2,6.1,1.881,0.9,1.22,0.74,4.6e-01,1.0e+00,0.7442,906,2.7,1.9,5.1,8.8,7.3,2.3
ENST00000355028.4,14.3,22.7,5.9,0.258,-2,2.63,-0.74,4.6e-01,1.0e+00,0.7442,906,45.1,0,23,17.6,0,0
ENST00000615606.4,4.1,6.4,1.7,0.276,-1.9,2.5,-0.74,4.6e-01,1.0e+00,0.7442,907,9.6,9.7,0,0,5.2,0
ENST00000402937.1,14.1,21,7.1,0.337,-1.6,2.11,-0.74,4.6e-01,1.0e+00,0.7442,908,0,22.2,40.8,7.6,0,13.7
ENST00000412752.5,0.7,1.5,0,0.142,-2.8,3.8,-0.74,4.6e-01,1.0e+00,NA,NA,2.7,0,1.7,0,0,0
ENST00000438587.5,0.8,1.6,0,0.131,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,4.8,0,0,0,0,0
ENST00000441751.5,0.8,1.6,0,0.131,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,4.8,0,0,0,0,0
ENST00000471290.1,2.1,3.1,1,0.345,-1.5,2.07,-0.74,4.6e-01,1.0e+00,NA,NA,4.1,1,4.3,0,3.1,0
ENST00000495277.1,0.6,0,1.2,7.762,3,3.99,0.74,4.6e-01,1.0e+00,NA,NA,0,0,0,1.3,0,2.3
ENST00000263255.10,0.8,1.6,0,0.132,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,0,4.8,0,0,0,0
ENST00000361710.6,0.8,1.6,0,0.132,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,0,4.8,0,0,0,0
ENST00000413942.1,0.8,1.6,0,0.132,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,0,4.8,0,0,0,0
ENST00000422706.5,0.8,1.6,0,0.132,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,0,4.8,0,0,0,0
ENST00000460352.1,0.8,1.6,0,0.132,-2.9,3.95,-0.74,4.6e-01,1.0e+00,NA,NA,0,4.8,0,0,0,0
ENST00000487165.5,5.6,2.8,8.4,2.933,1.6,2.1,0.74,4.6e-01,1.0e+00,0.7442,916,7.5,1,0,0,12.6,12.6
ENST00000456894.5,2.7,1.1,4.2,3.711,1.9,2.57,0.74,4.6e-01,1.0e+00,0.7442,917,0,0,3.4,6.3,6.3,0
ENST00000352397.9,96.9,134.5,59.3,0.441,-1.2,1.6,-0.74,4.6e-01,1.0e+00,0.7442,918,113.5,148.9,141.2,98.2,79.7,0
ENST00000624945.1,12.5,15.7,9.3,0.594,-0.8,1.02,-0.74,4.6e-01,1.0e+00,0.7442,918,14.4,25.1,7.7,6.3,14.7,6.9
ENST00000493426.1,4.3,5.8,2.7,0.47,-1.1,1.48,-0.74,4.6e-01,1.0e+00,0.7442,919,5.5,7.7,4.3,2.5,0,5.7
ENST00000290460.7,0.7,1.5,0,0.142,-2.8,3.83,-0.74,4.6e-01,1.0e+00,NA,NA,0,1.9,2.6,0,0,0
ENST00000420118.1,0.7,1.5,0,0.142,-2.8,3.83,-0.74,4.6e-01,1.0e+00,NA,NA,0,1.9,2.6,0,0,0
ENST00000423888.5,0.7,1.5,0,0.142,-2.8,3.83,-0.74,4.6e-01,1.0e+00,NA,NA,0,1.9,2.6,0,0,0
